,F1,Precision,Recall,Partial F1,Partial Recall,Partial Precision,New Candidates
0,0.43586550435865506,0.7113821138211383,0.3141831238779174,0.5219858156028369,0.36007827788649704,0.9484536082474226,[]
1,0.46191051995163235,0.7074074074074074,0.34290843806104127,0.5410292072322671,0.3806262230919765,0.9350961538461539,"['polling places', 'rejected ballots', 'voter', 'constituency association', 'relevant electoral division', 'statement', 'polling subdivisions', 'election clerk', 'electors', 'election process']"
2,0.4776470588235294,0.6928327645051194,0.3644524236983842,0.5567715458276334,0.39823874755381605,0.925,"['election clerks', 'poll clerk', 'ballot', 'voters ballot', 'candidates behalf', 'nominee', 'election survey', 'elections enumerations', 'ballots', 'official']"
3,0.4890426758938869,0.6838709677419355,0.38061041292639136,0.5646900269541778,0.40998043052837574,0.9069264069264069,"['court', 'ballot box', 'vote', 'election period', 'candidates names', 'ballot boxes', 'poll clerks', 'bulletins', 'judgment', 'registration officer']"
4,0.48747152619589973,0.6666666666666666,0.38420107719928187,0.5691382765531062,0.41682974559686886,0.8968421052631579,"['election proclamation', 'persons nomination', 'survey', 'notice', 'nomination paper', 'voters intention', 'survey results', 'school division', 'section derogates', 'disclosure']"
5,0.48697621744054365,0.6595092024539877,0.3859964093357271,0.5691489361702127,0.4187866927592955,0.8879668049792531,"['nomination papers', 'vote cast', 'persons behalf', 'election documents', 'voters name', 'campaign expenses', 'persons name', 'petitioner', 'judges seal', 'particulars']"
6,0.45310853530031614,0.548469387755102,0.3859964093357271,0.5690642902609803,0.43737769080234834,0.8142076502732241,"['electors name', 'person', 'information', 'landlords behalf', 'period', 'deputy', 'appeal', 'application', 'time period', 'fact']"
7,0.42970297029702975,0.47902869757174393,0.3895870736086176,0.5856353591160222,0.46673189823874756,0.785831960461285,"['section', 'poll', 'persons', 'applications', 'landlord', 'request', 'polls', 'time review', 'appointment', 'name']"
8,0.4214487300094074,0.4426877470355731,0.4021543985637343,0.6087990487514863,0.5009784735812133,0.7757575757575758,"['candidates', 'results', 'subsection', 'report', 'Part', 'recount', 'appellant', 'announcement', 'return', 'seal']"
9,0.4189063948100093,0.4329501915708812,0.40574506283662476,0.6069534472598703,0.5039138943248532,0.762962962962963,"['nomination', 'friend', 'party', 'onus', 'evidence', 'disclaimer', 'provision', 'contravention', 'perjury', 'matter']"
10,0.41750227894257064,0.42407407407407405,0.4111310592459605,0.6044340723453909,0.5068493150684932,0.7485549132947977,"['time', 'offence', 'prosecution', 'obligation', 'list', 'proceedings', 'prohibitions', 'facility', 'representative', 'petition']"
11,0.4085637823371989,0.40602836879432624,0.4111310592459605,0.5983889528193325,0.5088062622309197,0.7262569832402235,"['campaign', 'advertisement', 'building', 'duties', 'equipment', 'case', 'day', 'action', 'way', 'purpose']"
12,0.3482142857142857,0.29733163913595934,0.42010771992818674,0.5911179173047474,0.5665362035225049,0.6179295624332978,"['note', 'manner', 'officer', 'Act', 'the', 'power', 'confirmation', 'sponsor', 'distance', 'identification']"
13,0.3257103257103257,0.2652370203160271,0.42190305206463197,0.5655976676384838,0.5694716242661448,0.5617760617760618,"['applicant', 'documents', 'authority', 'occupant', 'a', 'by‑', 'charge', 'service', 'investigation', 'allegations']"
14,0.3228454172366621,0.26077348066298345,0.4236983842010772,0.5662012518054886,0.5753424657534246,0.557345971563981,"['act', 'parties', 'fee', 'tenant', 'hours', 'department', 'following', 'complaint', 'custody', 'imposition']"
15,0.3178451178451178,0.2543103448275862,0.4236983842010772,0.5638095238095239,0.5792563600782779,0.549165120593692,"['deposit', 'location', 'line', 'residence', 'use', 'public', 'guidelines', 'conduct', 'objection', 'agreement']"
16,0.3160690571049137,0.2507903055848261,0.4272890484739677,0.5636192271442035,0.5851272015655578,0.5436363636363636,"['result', 'voters', 'purposes', 'document', 'place', 'compliance agreement', 'prohibition', 'directive', 'government', 'choice']"
17,0.3139841688654354,0.24817518248175183,0.4272890484739677,0.5609756097560976,0.5851272015655578,0.5387387387387388,"['periods', 'provisions', 'responsibility', 'opinion', 'room', 'effect', 'map', 'reward', 'withdrawal', 'termination']"
18,0.3109954456733897,0.24387755102040817,0.42908438061041293,0.5599999999999999,0.589041095890411,0.5336879432624113,"['polling', 'enumerators identification', 'compliance', 'lists', 'maps', 'votes', 'one', 'cost', 'paper', 'proclamation']"
19,0.31065468549422337,0.24175824175824176,0.43447037701974867,0.5637954859511747,0.598825831702544,0.5326370757180157,"['officers', 'record', 'premises', 'requirements', 'office', 'reason', 'employees', 'irregularity', 'council', 'penalty']"
20,0.30847673677501597,0.2391304347826087,0.43447037701974867,0.5618698441796518,0.5998043052837574,0.528448275862069,"['matters', 'fine', 'grounds', 'secretary', 'area', 'printer', 'method', 'receipt', 'circumstances', 'letter']"
21,0.3055555555555556,0.23563777994157742,0.43447037701974867,0.5598543468365953,0.601761252446184,0.5234042553191489,"['procedure', 'question', 'date', 'means', 'extent', 'amount', 'integrity', 'contracting', 'envelope', 'photograph']"
22,0.3032581453634085,0.2329162656400385,0.43447037701974867,0.5577184246265278,0.6027397260273972,0.518955349620893,"['envelopes', 'duty', 'amounts', 'expenses', 'behalf', 'right', 'visit', 'form', 'sum', 'expression']"
23,0.3014888337468982,0.23033175355450236,0.4362657091561939,0.5546067415730337,0.6037181996086106,0.512884455527847,"['costs', 'employee', 'hour', 'names', 'forms', 'powers', 'school', 'respondents', 'number', 'petitioners']"
